fraction,task,seed,model,threshold,macro_f1,micro_f1,prediction
10pct,rhythm,46,heartlang,0.5,0.2018376782688394,0.8335731414868105,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\rhythm-seed46\heartlang\formal-test\test_predictions.npz
10pct,rhythm,46,hilar,0.5,0.28886756314336653,0.8616060532096657,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\rhythm-seed46\formal-test\paired\test_predictions.npz
10pct,rhythm,55,clear_hug,0.5,0.19648508291811198,0.8407522018567007,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\rhythm-seed55\formal-test\hug\test_predictions.npz
10pct,rhythm,55,heartlang,0.5,0.18956177570640023,0.8323251875151222,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\rhythm-seed55\heartlang\formal-test\test_predictions.npz
10pct,rhythm,55,hilar,0.5,0.2275415248340327,0.8464528668610302,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\rhythm-seed55\formal-test\paired\test_predictions.npz
10pct,cpsc2018,42,clear_hug,0.5,0.41657541025719225,0.5173398612811098,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\cpsc2018-seed42\formal-test\hug\test_predictions.npz
10pct,cpsc2018,42,heartlang,0.5,0.0750095603739207,0.16173808086904043,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\cpsc2018-seed42\heartlang\formal-test\test_predictions.npz
10pct,cpsc2018,42,hilar,0.5,0.4807873956745532,0.5851627554882665,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\cpsc2018-seed42\formal-test\paired\test_predictions.npz
10pct,cpsc2018,46,clear_hug,0.5,0.40564856639666713,0.46656050955414013,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\cpsc2018-seed46\formal-test\hug\test_predictions.npz
10pct,cpsc2018,46,heartlang,0.5,0.042247841646733356,0.07662337662337662,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\cpsc2018-seed46\heartlang\formal-test\test_predictions.npz
10pct,cpsc2018,46,hilar,0.5,0.42015397230662804,0.5420118343195266,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\cpsc2018-seed46\formal-test\paired\test_predictions.npz
10pct,cpsc2018,55,clear_hug,0.5,0.408794616632204,0.4716828478964401,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\cpsc2018-seed55\formal-test\hug\test_predictions.npz
10pct,cpsc2018,55,heartlang,0.5,0.09199106562802158,0.19791666666666666,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\cpsc2018-seed55\heartlang\formal-test\test_predictions.npz
10pct,cpsc2018,55,hilar,0.5,0.36670063066960856,0.5,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\cpsc2018-seed55\formal-test\paired\test_predictions.npz
10pct,csn,42,clear_hug,0.5,0.24111100367770155,0.5969773299748111,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\csn-seed42\formal-test\hug\test_predictions.npz
10pct,csn,42,heartlang,0.5,0.14337393324997794,0.5515698782205285,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\csn-seed42\heartlang\formal-test\test_predictions.npz
10pct,csn,42,hilar,0.5,0.25553156618503065,0.6560058415480102,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\csn-seed42\formal-test\paired\test_predictions.npz
10pct,csn,46,clear_hug,0.5,0.22313872428930356,0.6072208472849032,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\csn-seed46\formal-test\hug\test_predictions.npz
10pct,csn,46,heartlang,0.5,0.13899478305758697,0.5461199367878233,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\csn-seed46\heartlang\formal-test\test_predictions.npz
10pct,csn,46,hilar,0.5,0.2658317760956842,0.6612672018348624,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\csn-seed46\formal-test\paired\test_predictions.npz
10pct,csn,55,clear_hug,0.5,0.22141849032593974,0.6036469062333104,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\csn-seed55\formal-test\hug\test_predictions.npz
